2011-10-12 14:27:34 startup archives install
2011-10-12 14:27:34 install base-files <none> 6.4ubuntu5
2011-10-12 14:27:34 status half-installed base-files 6.4ubuntu5
2011-10-12 14:27:34 status unpacked base-files 6.4ubuntu5
2011-10-12 14:27:34 status unpacked base-files 6.4ubuntu5
2011-10-12 14:27:34 install base-passwd <none> 3.5.23
2011-10-12 14:27:34 status half-installed base-passwd 3.5.23
2011-10-12 14:27:34 status unpacked base-passwd 3.5.23
2011-10-12 14:27:34 status unpacked base-passwd 3.5.23
2011-10-12 14:27:34 configure base-passwd 3.5.23 3.5.23
2011-10-12 14:27:34 status unpacked base-passwd 3.5.23
2011-10-12 14:27:34 status half-configured base-passwd 3.5.23
2011-10-12 14:27:34 status installed base-passwd 3.5.23
2011-10-12 14:27:34 configure base-files 6.4ubuntu5 6.4ubuntu5
2011-10-12 14:27:34 status unpacked base-files 6.4ubuntu5
2011-10-12 14:27:34 status unpacked base-files 6.4ubuntu5
2011-10-12 14:27:34 status unpacked base-files 6.4ubuntu5
2011-10-12 14:27:34 status unpacked base-files 6.4ubuntu5
2011-10-12 14:27:34 status unpacked base-files 6.4ubuntu5
2011-10-12 14:27:34 status unpacked base-files 6.4ubuntu5
2011-10-12 14:27:34 status unpacked base-files 6.4ubuntu5
2011-10-12 14:27:34 status unpacked base-files 6.4ubuntu5
2011-10-12 14:27:34 status unpacked base-files 6.4ubuntu5
2011-10-12 14:27:34 status unpacked base-files 6.4ubuntu5
2011-10-12 14:27:34 status unpacked base-files 6.4ubuntu5
2011-10-12 14:27:34 status half-configured base-files 6.4ubuntu5
2011-10-12 14:27:34 status installed base-files 6.4ubuntu5
2011-10-12 14:27:34 startup archives install
2011-10-12 14:27:34 upgrade dpkg 1.16.0.3ubuntu5 1.16.0.3ubuntu5
2011-10-12 14:27:34 status half-configured dpkg 1.16.0.3ubuntu5
2011-10-12 14:27:34 status unpacked dpkg 1.16.0.3ubuntu5
2011-10-12 14:27:34 status half-installed dpkg 1.16.0.3ubuntu5
2011-10-12 14:27:34 status half-installed dpkg 1.16.0.3ubuntu5
2011-10-12 14:27:34 status unpacked dpkg 1.16.0.3ubuntu5
2011-10-12 14:27:34 status unpacked dpkg 1.16.0.3ubuntu5
2011-10-12 14:27:34 configure dpkg 1.16.0.3ubuntu5 1.16.0.3ubuntu5
2011-10-12 14:27:34 status unpacked dpkg 1.16.0.3ubuntu5
2011-10-12 14:27:34 status unpacked dpkg 1.16.0.3ubuntu5
2011-10-12 14:27:34 status unpacked dpkg 1.16.0.3ubuntu5
2011-10-12 14:27:34 status unpacked dpkg 1.16.0.3ubuntu5
2011-10-12 14:27:34 status unpacked dpkg 1.16.0.3ubuntu5
2011-10-12 14:27:34 status half-configured dpkg 1.16.0.3ubuntu5
2011-10-12 14:27:34 status installed dpkg 1.16.0.3ubuntu5
2011-10-12 14:27:34 startup archives install
2011-10-12 14:27:34 install libc6 <none> 2.13-20ubuntu5
2011-10-12 14:27:34 status half-installed libc6 2.13-20ubuntu5
2011-10-12 14:27:35 status unpacked libc6 2.13-20ubuntu5
2011-10-12 14:27:35 status unpacked libc6 2.13-20ubuntu5
2011-10-12 14:27:35 configure libc6 2.13-20ubuntu5 2.13-20ubuntu5
2011-10-12 14:27:35 status unpacked libc6 2.13-20ubuntu5
2011-10-12 14:27:35 status unpacked libc6 2.13-20ubuntu5
2011-10-12 14:27:35 status half-configured libc6 2.13-20ubuntu5
2011-10-12 14:27:35 status installed libc6 2.13-20ubuntu5
2011-10-12 14:27:35 startup archives install
2011-10-12 14:27:35 install perl-base <none> 5.12.4-4
2011-10-12 14:27:35 status half-installed perl-base 5.12.4-4
2011-10-12 14:27:36 status unpacked perl-base 5.12.4-4
2011-10-12 14:27:36 status unpacked perl-base 5.12.4-4
2011-10-12 14:27:36 configure perl-base 5.12.4-4 5.12.4-4
2011-10-12 14:27:36 status unpacked perl-base 5.12.4-4
2011-10-12 14:27:36 status half-configured perl-base 5.12.4-4
2011-10-12 14:27:36 status installed perl-base 5.12.4-4
2011-10-12 14:27:36 startup archives install
2011-10-12 14:27:36 install mawk <none> 1.3.3-15ubuntu2
2011-10-12 14:27:36 status half-installed mawk 1.3.3-15ubuntu2
2011-10-12 14:27:36 status unpacked mawk 1.3.3-15ubuntu2
2011-10-12 14:27:36 status unpacked mawk 1.3.3-15ubuntu2
2011-10-12 14:27:36 configure mawk 1.3.3-15ubuntu2 1.3.3-15ubuntu2
2011-10-12 14:27:36 status unpacked mawk 1.3.3-15ubuntu2
2011-10-12 14:27:36 status half-configured mawk 1.3.3-15ubuntu2
2011-10-12 14:27:36 status installed mawk 1.3.3-15ubuntu2
2011-10-12 14:27:36 startup archives install
2011-10-12 14:27:36 install debconf <none> 1.5.40ubuntu1
2011-10-12 14:27:36 status half-installed debconf 1.5.40ubuntu1
2011-10-12 14:27:36 status unpacked debconf 1.5.40ubuntu1
2011-10-12 14:27:36 status unpacked debconf 1.5.40ubuntu1
2011-10-12 14:27:36 configure debconf 1.5.40ubuntu1 1.5.40ubuntu1
2011-10-12 14:27:36 status unpacked debconf 1.5.40ubuntu1
2011-10-12 14:27:36 status unpacked debconf 1.5.40ubuntu1
2011-10-12 14:27:36 status unpacked debconf 1.5.40ubuntu1
2011-10-12 14:27:36 status unpacked debconf 1.5.40ubuntu1
2011-10-12 14:27:36 status half-configured debconf 1.5.40ubuntu1
2011-10-12 14:27:36 status installed debconf 1.5.40ubuntu1
2011-10-12 14:27:36 startup archives unpack
2011-10-12 14:27:36 install adduser <none> 3.112+nmu1ubuntu5
2011-10-12 14:27:36 status half-installed adduser 3.112+nmu1ubuntu5
2011-10-12 14:27:36 status unpacked adduser 3.112+nmu1ubuntu5
2011-10-12 14:27:36 status unpacked adduser 3.112+nmu1ubuntu5
2011-10-12 14:27:36 upgrade base-files 6.4ubuntu5 6.4ubuntu5
2011-10-12 14:27:36 status half-configured base-files 6.4ubuntu5
2011-10-12 14:27:36 status unpacked base-files 6.4ubuntu5
2011-10-12 14:27:36 status half-installed base-files 6.4ubuntu5
2011-10-12 14:27:36 status half-installed base-files 6.4ubuntu5
2011-10-12 14:27:36 status unpacked base-files 6.4ubuntu5
